first_name,last_name,max_speed_imp,max_speed_met,avg_speed_imp,avg_speed_met,shots_over_100,shots_90_to_100,shots_80_to_90,shots_70_to_80
Nikita,Kucherov,92.06,148.1562,62.4899,100.5678,0,3,63,131
Yanni,Gourde,88.82,142.9419,53.8787,86.7094,0,0,12,41
Kurtis,MacDermid,79.71,128.2808,44.082,70.9431,0,0,0,1
Jake,Guentzel,83.05,133.656,48.5426,78.1218,0,0,4,44
Oliver,Bjorkstrand,85.58,137.7277,58.4879,94.1272,0,0,10,61
Brayden,Point,77.27,124.354,45.8942,73.8595,0,0,0,14
Michael,Amadio,87.67,141.0912,46.5489,74.9131,0,0,6,12
Darren,Raddysh,100.13,161.1436,75.365,121.2882,1,96,101,107
Erik,Cernak,87.37,140.6084,67.0888,107.969,0,0,12,48
Thomas,Chabot,93.62,150.6668,67.1083,108.0003,0,7,39,74
Anthony,Cirelli,85.4,137.438,45.5792,73.3527,0,0,3,20
Brandon,Hagel,87.58,140.9463,55.3553,89.0858,0,0,20,92
Fabian,Zetterlund,94.3,151.7611,55.5979,89.4761,0,3,11,53
Brady,Tkachuk,92.28,148.5103,55.2048,88.8435,0,3,36,59
Curtis,Douglas,81.26,130.7753,45.7923,73.6956,0,0,2,7
Pontus,Holmberg,84.86,136.5689,47.2495,76.0407,0,0,1,26
Dylan,Cozens,90.04,144.9053,53.2682,85.7269,0,1,28,81
Shane,Pinto,90.56,145.7422,56.1116,90.3029,0,1,21,63
Max,Crozier,84.52,136.0218,63.5095,102.2086,0,0,6,15
Mitchell,Chaffee,83.63,134.5894,57.5557,92.6269,0,0,1,1
Ridly,Greig,86.03,138.4519,46.5109,74.852,0,0,2,26
Jake,Sanderson,99.72,160.4838,72.2798,116.3231,0,24,106,124
Tim,Stützle,90.1,145.0019,55.5203,89.3513,0,1,24,100
Donovan,Sebrango,90.01,144.8571,71.5098,115.0838,0,1,16,44
Gage,Goncalves,84.22,135.539,51.3986,82.7181,0,0,5,20
Artem,Zub,94.74,152.4693,69.1477,111.2824,0,4,37,63
Emil,Lilleberg,89.69,144.3421,64.5994,103.9626,0,0,14,28
Conor,Geekie,90.83,146.1767,68.1283,109.6419,0,1,4,4
Nikolas,Matinpalo,92.84,149.4115,72.4273,116.5605,0,5,23,37
Nicolas,Deslauriers,89.08,143.3604,55.4488,89.2362,0,0,3,7
Nick,Seeler,88.76,142.8454,66.7366,107.4022,0,0,19,80
Sean,Couturier,84.88,136.6011,50.7809,81.724,0,0,5,26
Garnet,Hathaway,83.14,133.8009,54.4347,87.6042,0,0,2,12
Travis,Sanheim,94.84,152.6302,67.6334,108.8455,0,2,42,91
Christian,Dvorak,81.22,130.7109,44.3194,71.3251,0,0,2,26
Travis,Konecny,89.37,143.8271,55.6352,89.5361,0,0,17,56
Noah,Juulsen,92.13,148.2689,74.3643,119.6778,0,8,27,25
Rodrigo,Abols,84.83,136.5207,54.3555,87.4767,0,0,7,16
Owen,Tippett,93.15,149.9104,60.5069,97.3764,0,3,63,104
Noah,Cates,82.36,132.5456,48.7275,78.4194,0,0,6,36
Adam,Ginning,80.97,130.3086,70.4133,113.3193,0,0,1,5
Egor,Zamula,90.15,145.0824,71.1186,114.4543,0,1,6,18
Trevor,Zegras,82.79,133.2376,57.2042,92.0612,0,0,8,77
Bobby,Brink,84.72,136.3436,49.1513,79.1013,0,0,4,40
Jamie,Drysdale,98.46,158.456,68.1855,109.7339,0,3,41,95
Tyson,Foerster,92.9,149.5081,61.7533,99.3822,0,2,19,22
Matvei,Michkov,82.5,132.7709,51.5531,82.9666,0,0,2,36
Kyle,Palmieri,89.38,143.8432,49.5251,79.703,0,0,11,14
Casey,Cizikas,89.09,143.3765,47.1406,75.8655,0,0,6,18
Anders,Lee,87.27,140.4475,42.7279,68.7638,0,0,11,32
Jean-Gabriel,Pageau,81.72,131.5156,47.1939,75.9511,0,0,5,17
Scott,Mayfield,87.43,140.7049,66.2012,106.5404,0,0,9,68
Adam,Pelech,96.33,155.0281,65.981,106.1861,0,3,35,97
Anthony,Duclair,90.36,145.4203,59.0152,94.9758,0,2,20,33
Jonathan,Drouin,85.58,137.7277,52.9567,85.2256,0,0,3,25
Bo,Horvat,93.4,150.3127,61.6949,99.2883,0,2,71,84
Ryan,Pulock,103.01,165.7785,71.9843,115.8474,4,38,22,59
Tony,DeAngelo,88.3,142.1051,67.0062,107.836,0,0,29,101
Mathew,Barzal,83.89,135.0079,55.3258,89.0382,0,0,11,61
Filip,Hallander,79.61,128.1199,42.9903,69.1862,0,0,0,3
Alexander,Romanov,93.14,149.8943,73.1295,117.6905,0,1,8,12
Simon,Holmstrom,90.56,145.7422,57.152,91.9773,0,1,23,38
Emil,Heineman,97.28,156.557,59.9722,96.516,0,5,53,70
Maxim,Tsyplakov,80.88,130.1637,53.3725,85.8948,0,0,2,15
Matthew,Schaefer,93.91,151.1335,67.7088,108.9667,0,4,88,196
Max,Shabanov,85.24,137.1805,58.6957,94.4615,0,0,7,30
Jordan,Staal,88.4,142.266,47.0983,75.7974,0,0,4,25
Evgenii,Dadonov,79.66,128.2003,45.8415,73.7748,0,0,0,2
Brenden,Dillon,90.71,145.9836,65.7487,105.8123,0,1,14,23
Taylor,Hall,88.27,142.0568,50.3433,81.0197,0,0,3,39
Ondrej,Palat,88.51,142.443,47.4563,76.3734,0,0,6,12
Dougie,Hamilton,96.55,155.3822,69.2012,111.3686,0,18,93,119
Luke,Glendening,82.23,132.3364,43.8124,70.5092,0,0,2,8
Shayne,Gostisbehere,93.97,151.2301,69.9597,112.5892,0,13,52,87
Jordan,Martinook,84.36,135.7643,53.0422,85.3631,0,0,12,54
Jaccob,Slavin,99.18,159.6147,68.8317,110.7739,0,7,12,37
Connor,Brown,80.8,130.035,47.6247,76.6445,0,0,1,18
William,Carrier,82.97,133.5273,46.3323,74.5646,0,0,1,11
Brett,Pesce,82.9,133.4146,62.1274,99.9844,0,0,1,29
Nikolaj,Ehlers,93.63,150.6829,63.8634,102.7781,0,5,60,108
Jonas,Siegenthaler,90.88,146.2572,63.8308,102.7258,0,1,14,34
Timo,Meier,94.3,151.7611,54.317,87.4148,0,3,32,96
Sebastian,Aho,89.18,143.5213,56.5699,91.0404,0,0,16,93
Jalen,Chatfield,94.62,152.2761,67.1853,108.1242,0,3,23,100
Jesper,Bratt,84.3,135.6677,53.7346,86.4774,0,0,6,70
Cody,Glass,83.12,133.7687,48.4059,77.9018,0,0,4,17
Nico,Hischier,89.41,143.8914,50.2402,80.8538,0,0,17,50
Sean,Walker,95.36,153.467,66.821,107.5379,0,1,46,155
Eric,Robinson,85.06,136.8908,50.4144,81.1341,0,0,2,22
K'Andre,Miller,92.59,149.0092,70.7243,113.8197,0,4,43,153
Jesperi,Kotkaniemi,81.99,131.9501,49.3875,79.4815,0,0,2,11
Andrei,Svechnikov,96.06,154.5936,58.4877,94.1269,0,2,49,96
Paul,Cotter,91.72,147.609,49.8966,80.3008,0,1,5,17
