player_id,games_played,goals,assists,points,game_win_goals,ot_goals,shots,shooting_pctg,pim,plus_minus,pp_goals,pp_points,sh_goals,sh_points
8482124,81,23,31,54,4,3,157,0.146497,46,16,3,7,1,1
8482155,77,19,23,42,4,0,193,0.098446,20,22,2,4,0,0
8482730,78,5,28,33,0,0,131,0.038168,46,13,2,9,0,0
8473512,81,15,35,50,3,0,138,0.108696,18,-8,4,18,0,1
8474102,43,9,7,16,2,0,71,0.126761,12,-7,4,6,0,0
8474612,59,1,6,7,0,0,72,0.013889,19,-16,0,0,0,0
8475324,71,3,18,21,0,0,77,0.038961,6,18,0,0,0,0
8476393,50,6,9,15,0,0,68,0.088235,41,-1,0,0,0,0
8477220,80,5,14,19,0,0,70,0.071429,30,4,0,4,0,0
8478020,72,11,16,27,2,0,85,0.129412,18,12,1,1,0,0
8478469,80,9,36,45,1,1,179,0.050279,24,17,1,8,0,0
8478874,81,19,7,26,4,0,90,0.211111,12,12,3,3,0,0
8479393,52,4,3,7,2,0,60,0.066667,28,-21,0,0,1,1
8480064,56,21,14,35,5,1,96,0.21875,44,-6,6,11,3,4
8480208,82,26,42,68,3,0,192,0.135417,30,-9,13,31,0,0
8480801,72,29,26,55,5,4,296,0.097973,123,0,14,23,0,0
8481596,70,21,16,37,5,0,127,0.165354,26,10,1,2,3,5
8482092,78,13,21,34,2,0,119,0.109244,60,-11,3,9,2,4
8482095,79,4,6,10,1,0,78,0.051282,27,-11,0,1,0,0
8482105,80,11,46,57,4,1,195,0.05641,12,-14,5,30,0,4
8482116,82,24,55,79,2,2,162,0.148148,46,0,5,33,0,0
8482245,56,2,11,13,1,0,57,0.035088,34,3,0,1,0,2
8473507,44,1,7,8,1,0,33,0.030303,16,-2,0,1,0,0
8474141,72,21,38,59,6,2,175,0.12,12,-16,12,29,0,0
8475279,81,4,9,13,0,0,109,0.036697,69,-14,0,1,0,0
8475765,80,11,22,33,1,0,133,0.082707,6,-13,1,8,0,0
8476874,77,2,16,18,0,0,73,0.027397,16,7,0,0,0,0
8476979,60,2,16,18,0,0,67,0.029851,20,-19,1,9,0,0
8477353,55,4,5,9,0,0,66,0.060606,6,-11,0,0,0,0
8477429,56,10,13,23,2,0,68,0.147059,8,4,0,1,1,1
8477456,76,11,21,32,3,0,98,0.112245,24,-7,5,9,0,0
8477946,82,30,40,70,3,0,234,0.128205,40,-16,13,27,0,0
8478432,46,1,6,7,0,0,31,0.032258,11,-6,0,0,0,0
8479337,82,39,31,70,4,1,244,0.159836,29,-13,13,29,0,0
8479992,77,11,10,21,1,0,99,0.111111,24,-12,2,4,0,0
8480813,74,8,9,17,0,0,75,0.106667,17,-23,0,0,0,0
8481013,75,12,12,24,1,0,88,0.136364,14,-13,3,5,0,0
8481542,82,8,38,46,0,0,162,0.049383,40,-5,4,24,0,0
8482078,82,27,53,80,5,1,192,0.140625,18,-15,8,37,1,1
8482762,78,7,24,31,3,1,86,0.081395,67,12,0,0,0,1
8482259,74,20,14,34,5,0,169,0.118343,27,12,3,6,0,0
8475151,82,24,24,48,2,0,169,0.142012,20,-17,5,9,0,1
8475231,82,7,10,17,1,0,97,0.072165,51,-13,0,1,1,1
8475314,82,29,25,54,3,0,233,0.124464,35,3,5,9,0,0
8475754,80,26,30,56,7,1,193,0.134715,18,8,3,7,3,3
8476419,79,14,28,42,1,0,120,0.116667,23,4,2,5,1,4
8476422,18,0,2,2,0,0,31,0.0,2,-3,0,0,0,0
8476429,66,3,6,9,0,0,51,0.058824,27,18,0,0,1,1
8476917,60,0,21,21,0,0,109,0.0,32,4,0,1,0,0
8477407,44,7,4,11,0,0,60,0.116667,10,-15,3,3,0,0
8477500,81,28,29,57,7,3,243,0.115226,16,-4,3,7,2,2
8477506,74,5,18,23,1,0,97,0.051546,16,2,1,2,0,2
8478445,30,6,14,20,1,0,78,0.076923,4,10,1,4,0,0
8479619,53,7,12,19,0,0,75,0.093333,36,-7,0,2,0,0
8480789,43,3,3,6,1,0,54,0.055556,37,-6,0,1,0,0
8480865,71,10,29,39,1,0,196,0.05102,28,-16,1,12,0,1
8481014,64,4,16,20,0,0,100,0.04,20,5,0,0,0,1
8481237,81,4,7,11,0,0,61,0.065574,14,-15,0,0,0,0
8481601,75,20,25,45,3,0,96,0.208333,8,5,2,6,1,4
8484958,77,10,25,35,1,0,116,0.086207,39,4,1,3,0,0
8473994,80,16,33,49,4,1,136,0.117647,70,3,1,10,0,0
8474149,80,20,20,40,2,0,123,0.162602,10,1,5,7,0,0
8474564,82,27,26,53,6,1,174,0.155172,48,-36,14,21,0,0
8474568,76,1,6,7,0,0,77,0.012987,45,-4,0,0,0,0
8474600,53,9,29,38,1,0,150,0.06,18,-26,2,17,0,0
8474679,79,11,17,28,0,0,103,0.106796,16,-24,2,3,1,2
8475158,79,21,32,53,3,0,151,0.139073,24,-23,9,17,0,0
8475168,82,30,52,82,6,1,152,0.197368,12,13,8,27,0,0
8475794,20,9,12,21,2,0,46,0.195652,4,15,3,3,0,0
8476278,63,6,11,17,0,0,63,0.095238,16,4,0,1,2,3
8476539,78,21,35,56,4,1,206,0.101942,37,-29,4,23,0,0
8476856,63,1,9,10,0,0,57,0.017544,60,-5,0,1,0,0
8476869,82,10,23,33,1,0,156,0.064103,42,-24,2,10,0,0
8476873,60,12,5,17,1,0,66,0.181818,33,4,0,0,0,0
8476887,82,31,45,76,3,0,281,0.11032,44,-27,10,26,0,0
8476902,80,5,21,26,0,0,99,0.050505,14,34,1,1,0,0
8476925,72,7,14,21,0,0,80,0.0875,22,-12,0,1,0,0
8477446,74,5,9,14,1,0,80,0.0625,102,-21,0,0,0,0
8478438,54,13,9,22,2,0,92,0.141304,4,-7,1,5,0,0
8478449,76,28,39,67,7,0,160,0.175,30,18,7,20,1,2
8478468,28,0,1,1,0,0,25,0.0,37,-4,0,0,0,0
