,team_id,team_code,game_num,date,goals,pim,shots,pp_perc,ppg,pp_opp,fo_win,blocked,takeaways,giveaways,hits
95,54,VGK,2022020096,2022-10-25T02:00:00Z,3,4,33,33.3,1.0,3.0,49.1,29,14,4,34
96,23,VAN,2022020097,2022-10-25T02:30:00Z,2,6,16,50.0,1.0,2.0,40.0,14,2,4,27
97,29,CBJ,2022020098,2022-10-25T23:00:00Z,3,16,33,0.0,0.0,5.0,53.7,8,11,10,24
98,3,NYR,2022020099,2022-10-26T00:00:00Z,2,6,46,0.0,0.0,4.0,56.5,16,5,11,39
99,6,BOS,2022020100,2022-10-25T23:00:00Z,3,11,29,25.0,1.0,4.0,52.8,11,5,12,28
100,8,MTL,2022020101,2022-10-25T23:00:00Z,1,10,27,0.0,0.0,3.0,52.1,19,8,22,10
101,17,DET,2022020102,2022-10-25T23:00:00Z,2,2,22,0.0,0.0,3.0,41.4,12,3,16,29
102,16,CHI,2022020103,2022-10-26T00:30:00Z,4,14,22,50.0,1.0,2.0,58.3,20,8,10,29
103,20,CGY,2022020104,2022-10-26T01:00:00Z,4,10,36,33.3,1.0,3.0,64.1,14,11,7,18
104,55,SEA,2022020105,2022-10-26T02:00:00Z,5,8,24,66.7,2.0,3.0,32.7,17,10,8,15
105,26,LAK,2022020106,2022-10-26T02:30:00Z,4,10,33,25.0,1.0,4.0,54.9,22,1,10,28
106,28,SJS,2022020107,2022-10-26T02:30:00Z,2,2,31,0.0,0.0,2.0,50.8,19,13,6,23
107,2,NYI,2022020108,2022-10-26T23:30:00Z,3,6,29,0.0,0.0,3.0,51.0,16,10,10,35
108,19,STL,2022020109,2022-10-27T00:00:00Z,1,4,38,33.3,1.0,3.0,43.3,21,14,5,21
109,24,ANA,2022020110,2022-10-27T02:00:00Z,2,6,21,0.0,0.0,2.0,54.7,19,5,4,15
110,6,BOS,2022020111,2022-10-27T23:00:00Z,5,10,33,50.0,3.0,6.0,48.3,9,4,6,26
111,4,PHI,2022020112,2022-10-27T23:00:00Z,4,12,22,50.0,1.0,2.0,50.0,32,7,7,34
112,9,OTT,2022020113,2022-10-27T23:00:00Z,2,20,29,20.0,1.0,5.0,48.4,10,4,12,37
113,7,BUF,2022020114,2022-10-27T23:00:00Z,2,6,45,25.0,1.0,4.0,43.1,14,9,6,6
114,18,NSH,2022020115,2022-10-28T00:00:00Z,6,6,42,50.0,1.0,2.0,52.1,9,7,13,35
115,16,CHI,2022020116,2022-10-28T00:30:00Z,5,18,36,20.0,2.0,10.0,54.7,7,6,13,29
116,25,DAL,2022020117,2022-10-28T00:30:00Z,2,8,27,0.0,0.0,3.0,68.4,16,6,10,10
117,55,SEA,2022020118,2022-10-28T02:00:00Z,4,19,36,25.0,1.0,4.0,41.8,8,8,10,13
118,28,SJS,2022020119,2022-10-28T02:30:00Z,4,10,31,66.7,2.0,3.0,50.0,10,21,14,25
119,26,LAK,2022020120,2022-10-28T02:30:00Z,4,10,44,25.0,1.0,4.0,66.7,8,4,6,23
120,54,VGK,2022020121,2022-10-28T22:00:00Z,4,9,22,50.0,1.0,2.0,52.5,18,7,7,20
121,29,CBJ,2022020122,2022-10-28T23:00:00Z,0,4,30,0.0,0.0,3.0,41.8,17,10,7,18
122,1,NJD,2022020123,2022-10-28T23:00:00Z,1,12,23,33.3,1.0,3.0,70.8,17,14,4,11
123,12,CAR,2022020124,2022-10-28T23:00:00Z,2,2,35,0.0,0.0,3.0,54.0,10,17,8,22
124,23,VAN,2022020125,2022-10-29T02:00:00Z,5,10,29,50.0,2.0,4.0,50.9,19,4,10,23
125,53,ARI,2022020126,2022-10-29T02:30:00Z,2,12,21,0.0,0.0,2.0,59.3,13,6,18,33
126,25,DAL,2022020127,2022-10-29T18:00:00Z,3,14,33,0.0,0.0,4.0,46.2,17,5,5,13
127,13,FLA,2022020128,2022-10-29T20:00:00Z,5,12,58,25.0,1.0,4.0,55.6,13,9,10,30
128,28,SJS,2022020129,2022-10-29T20:30:00Z,3,4,27,33.3,1.0,3.0,45.5,8,9,11,16
129,4,PHI,2022020130,2022-10-29T23:00:00Z,3,10,29,16.7,1.0,6.0,51.5,17,8,7,27
130,7,BUF,2022020131,2022-10-29T23:00:00Z,4,8,45,66.7,2.0,3.0,27.5,12,6,6,7
131,17,DET,2022020132,2022-10-29T23:00:00Z,2,4,25,50.0,1.0,2.0,45.0,19,7,12,35
132,19,STL,2022020133,2022-10-29T23:00:00Z,4,8,30,50.0,1.0,2.0,49.1,5,10,10,28
133,26,LAK,2022020134,2022-10-29T23:00:00Z,4,8,29,33.3,2.0,6.0,56.4,10,5,13,18
134,2,NYI,2022020135,2022-10-29T23:30:00Z,5,4,44,0.0,0.0,3.0,42.9,15,5,8,26
135,18,NSH,2022020136,2022-10-30T00:00:00Z,0,6,34,0.0,0.0,5.0,61.3,14,8,4,36
136,20,CGY,2022020137,2022-10-30T02:00:00Z,2,8,42,0.0,0.0,3.0,48.5,13,6,12,31
137,55,SEA,2022020138,2022-10-30T02:00:00Z,3,4,30,0.0,0.0,2.0,52.2,14,7,10,25
