player_id,current_team,first_name,last_name,draft_year,draft_team,draft_round,pick_in_round,pick_overall
8477934,EDM,Leon,Draisaitl,2014.0,EDM,1.0,3.0,3.0
8477454,EDM,Adam,Erne,2013.0,TBL,2.0,3.0,33.0
8477998,EDM,Warren,Foegele,2014.0,CAR,3.0,7.0,67.0
8474040,EDM,Sam,Gagner,2007.0,EDM,1.0,6.0,6.0
8474641,EDM,Adam,Henrique,2008.0,NJD,3.0,21.0,82.0
8482077,EDM,Dylan,Holloway,2020.0,EDM,1.0,14.0,14.0
8475786,EDM,Zach,Hyman,2010.0,FLA,5.0,3.0,123.0
8477406,EDM,Mattias,Janmark,2013.0,DET,3.0,18.0,79.0
8475169,EDM,Evander,Kane,2009.0,ATL,1.0,4.0,4.0
8481534,EDM,Raphael,Lavoie,2019.0,EDM,2.0,7.0,38.0
8478402,EDM,Connor,McDavid,2015.0,EDM,1.0,1.0,1.0
8480802,EDM,Ryan,McLeod,2018.0,EDM,2.0,9.0,40.0
8476454,EDM,Ryan,Nugent-Hopkins,2011.0,EDM,1.0,1.0,1.0
8478967,EDM,Lane,Pederson,,,,,
8470621,EDM,Corey,Perry,2003.0,ANA,1.0,28.0,28.0
8478585,EDM,Derek,Ryan,,,,,
8479335,FLA,Rasmus,Asplund,2016.0,BUF,2.0,3.0,33.0
8477493,FLA,Aleksander,Barkov,2013.0,FLA,1.0,2.0,2.0
8477935,FLA,Sam,Bennett,2014.0,CGY,1.0,4.0,4.0
8476393,FLA,Nick,Cousins,2011.0,PHI,3.0,7.0,68.0
8479981,FLA,Jonah,Gadjovich,2017.0,VAN,2.0,24.0,55.0
8480825,FLA,Patrick,Giles,,,,,
8479367,FLA,William,Lockwood,2016.0,VAN,3.0,3.0,64.0
8479066,FLA,Ryan,Lomberg,,,,,
8478904,FLA,Steven,Lorentz,2015.0,CAR,7.0,5.0,186.0
8482113,FLA,Anton,Lundell,2020.0,FLA,1.0,12.0,12.0
8480185,FLA,Eetu,Luostarinen,2017.0,CAR,2.0,11.0,42.0
8473449,FLA,Kyle,Okposo,2006.0,NYI,1.0,7.0,7.0
8477933,FLA,Sam,Reinhart,2014.0,BUF,1.0,2.0,2.0
8478542,FLA,Evan,Rodrigues,,,,,
8482713,FLA,Mackie,Samoskevich,2021.0,FLA,1.0,24.0,24.0
8482088,FLA,Justin,Sourdif,2020.0,FLA,3.0,25.0,87.0
8478831,FLA,Kevin,Stenlund,2015.0,CBJ,2.0,28.0,58.0
8475765,FLA,Vladimir,Tarasenko,2010.0,STL,1.0,16.0,16.0
8479314,FLA,Matthew,Tkachuk,2016.0,CGY,1.0,6.0,6.0
8477409,FLA,Carter,Verhaeghe,2013.0,TOR,3.0,21.0,82.0
8478042,LAK,Viktor,Arvidsson,2014.0,NSH,4.0,22.0,112.0
8482124,LAK,Quinton,Byfield,2020.0,LAK,1.0,2.0,2.0
8476479,LAK,Phillip,Danault,2011.0,CHI,1.0,26.0,26.0
8479400,LAK,Pierre-Luc,Dubois,2016.0,CBJ,1.0,3.0,3.0
8477942,LAK,Kevin,Fiala,2014.0,NSH,1.0,11.0,11.0
8479336,LAK,Carl,Grundstrom,2016.0,TOR,2.0,27.0,57.0
8481560,LAK,Arthur,Kaliyev,2019.0,LAK,2.0,2.0,33.0
8477960,LAK,Adrian,Kempe,2014.0,LAK,1.0,29.0,29.0
8471685,LAK,Anze,Kopitar,2005.0,LAK,1.0,11.0,11.0
8482155,LAK,Alex,Laferriere,2020.0,LAK,3.0,21.0,83.0
8473453,LAK,Trevor,Lewis,2006.0,LAK,1.0,17.0,17.0
8481481,LAK,Blake,Lizotte,,,,,
8479675,LAK,Trevor,Moore,,,,,
8481557,MIN,Matt,Boldy,2019.0,MIN,1.0,12.0,12.0
8478493,MIN,Joel,Eriksson Ek,2015.0,MIN,1.0,20.0,20.0
8475220,MIN,Marcus,Foligno,2009.0,BUF,4.0,13.0,104.0
8477919,MIN,Frederick,Gaudreau,,,,,
8477451,MIN,Ryan,Hartman,2013.0,CHI,1.0,30.0,30.0
8475149,MIN,Marcus,Johansson,2009.0,WSH,1.0,24.0,24.0
8478864,MIN,Kirill,Kaprizov,2015.0,MIN,5.0,14.0,135.0
8482177,MIN,Marat,Khusnutdinov,2020.0,MIN,2.0,6.0,37.0
8479968,MIN,Vinni,Lettieri,,,,,
8481422,MIN,Jacob,Lucchini,,,,,
8483499,MIN,Liam,Ohgren,2022.0,MIN,1.0,19.0,19.0
8482079,MIN,Marco,Rossi,2020.0,MIN,1.0,9.0,9.0
8479972,MIN,Mason,Shaw,2017.0,MIN,4.0,4.0,97.0
8475692,MIN,Mats,Zuccarello,,,,,
8476981,MTL,Josh,Anderson,2012.0,CBJ,4.0,4.0,95.0
8476469,MTL,Joel,Armia,2011.0,BUF,1.0,16.0,16.0
8481540,MTL,Cole,Caufield,2019.0,MTL,1.0,15.0,15.0
8481523,MTL,Kirby,Dach,2019.0,CHI,1.0,3.0,3.0
8477989,MTL,Christian,Dvorak,2014.0,ARI,2.0,28.0,58.0
8478133,MTL,Jake,Evans,2014.0,MTL,7.0,27.0,207.0
8475848,MTL,Brendan,Gallagher,2010.0,MTL,5.0,27.0,147.0
8481093,MTL,Rafael,Harvey-Pinard,2019.0,MTL,7.0,15.0,201.0
8481618,MTL,Alex,Newhook,2019.0,COL,1.0,16.0,16.0
8476871,MTL,Tanner,Pearson,2012.0,LAK,1.0,30.0,30.0
8479543,MTL,Michael,Pezzetta,2016.0,MTL,6.0,9.0,160.0
8483515,MTL,Juraj,Slafkovsky,2022.0,MTL,1.0,1.0,1.0
8480018,MTL,Nick,Suzuki,2017.0,VGK,1.0,13.0,13.0
8478400,MTL,Colin,White,2015.0,OTT,1.0,21.0,21.0
8481058,MTL,Jesse,Ylönen,2018.0,MTL,2.0,4.0,35.0
8479414,NJD,Nathan,Bastian,2016.0,NJD,2.0,11.0,41.0
8479407,NJD,Jesper,Bratt,2016.0,NJD,6.0,11.0,162.0
8481518,NJD,Nolan,Foote,2019.0,TBL,1.0,27.0,27.0
8475287,NJD,Erik,Haula,2009.0,MIN,7.0,2.0,182.0
8480002,NJD,Nico,Hischier,2017.0,NJD,1.0,1.0,1.0
8482125,NJD,Alexander,Holtz,2020.0,NJD,1.0,7.0,7.0
8481559,NJD,Jack,Hughes,2019.0,NJD,1.0,1.0,1.0
8477508,NJD,Curtis,Lazar,2013.0,OTT,1.0,17.0,17.0
8477073,NJD,Kurtis,MacDermid,,,,,
8478414,NJD,Timo,Meier,2015.0,SJS,1.0,9.0,9.0
8482110,NJD,Dawson,Mercer,2020.0,NJD,1.0,18.0,18.0
8477931,NJD,Tomas,Nosek,,,,,
8476292,NJD,Ondrej,Palat,2011.0,TBL,7.0,27.0,208.0
8476919,NJD,Chris,Tierney,2012.0,SJS,2.0,25.0,55.0
8479994,NSH,Jaret,Anderson-Dolan,2017.0,LAK,2.0,10.0,41.0
8478463,NSH,Anthony,Beauvillier,2015.0,NYI,1.0,28.0,28.0
8482146,NSH,Luke,Evangelista,2020.0,NSH,2.0,11.0,42.0
8476887,NSH,Filip,Forsberg,2012.0,WSH,1.0,11.0,11.0
8479996,NSH,Cody,Glass,2017.0,VGK,1.0,6.0,6.0
8476873,NSH,Mark,Jankowski,2012.0,CGY,1.0,21.0,21.0
8477446,NSH,Michael,McCarron,2013.0,MTL,1.0,25.0,25.0
8478438,NSH,Tommy,Novak,2015.0,NSH,3.0,24.0,85.0
8474679,NSH,Gustav,Nyquist,2008.0,DET,4.0,30.0,121.0
8475158,NSH,Ryan,O'Reilly,2009.0,COL,2.0,3.0,33.0
8480748,NSH,Kiefer,Sherwood,,,,,
8476925,NSH,Colton,Sissons,2012.0,NSH,2.0,20.0,50.0
8482062,NSH,Cole,Smith,,,,,
8475722,NSH,Jason,Zucker,2010.0,MIN,2.0,29.0,59.0
8478445,NYI,Mathew,Barzal,2015.0,NYI,1.0,16.0,16.0
8475231,NYI,Casey,Cizikas,2009.0,NYI,4.0,1.0,92.0
8473504,NYI,Cal,Clutterbuck,2006.0,MIN,3.0,9.0,72.0
8478115,NYI,Pierre,Engvall,2014.0,TOR,7.0,8.0,188.0
8477392,NYI,Hudson,Fasching,2013.0,LAK,4.0,27.0,118.0
8479328,NYI,Julien,Gauthier,2016.0,CAR,1.0,21.0,21.0
8481601,NYI,Simon,Holmstrom,2019.0,NYI,1.0,23.0,23.0
8477500,NYI,Bo,Horvat,2013.0,VAN,1.0,9.0,9.0
8481016,NYI,Ruslan,Iskhakov,2018.0,NYI,2.0,12.0,43.0
8480901,NYI,Karson,Kuhlman,,,,,
8475314,NYI,Anders,Lee,2009.0,NYI,6.0,2.0,152.0
8481237,NYI,Kyle,MacLean,,,,,
8474709,NYI,Matt,Martin,2008.0,NYI,5.0,27.0,148.0
8475754,NYI,Brock,Nelson,2010.0,NYI,1.0,30.0,30.0
8476419,NYI,Jean-Gabriel,Pageau,2011.0,OTT,4.0,5.0,96.0
8475151,NYI,Kyle,Palmieri,2009.0,ANA,1.0,26.0,26.0
8477314,NYI,Brian,Pinho,2013.0,WSH,6.0,23.0,174.0
8480789,NYI,Oliver,Wahlstrom,2018.0,NYI,1.0,11.0,11.0
8475968,NYR,Alex,Belzile,,,,,
8482132,NYR,Brett,Berard,2020.0,NYR,5.0,10.0,134.0
8477320,NYR,Anton,Blidh,2013.0,BOS,6.0,29.0,180.0
8477380,NYR,Jonny,Brodzinski,2013.0,LAK,5.0,27.0,148.0
8480078,NYR,Filip,Chytil,2017.0,NYR,1.0,21.0,21.0
8482157,NYR,Will,Cuylle,2020.0,NYR,2.0,29.0,60.0
8481726,NYR,Adam,Edstrom,2019.0,NYR,6.0,6.0,161.0
8476624,NYR,Barclay,Goodrow,,,,,
8481554,NYR,Kaapo,Kakko,2019.0,NYR,1.0,2.0,2.0
8475184,NYR,Chris,Kreider,2009.0,NYR,1.0,19.0,19.0
8482109,NYR,Alexis,Lafrenière,2020.0,NYR,1.0,1.0,1.0
8479991,NYR,Jake,Leschyshyn,2017.0,VGK,2.0,31.0,62.0
8482747,NYR,Brennan,Othmann,2021.0,NYR,1.0,16.0,16.0
8478550,NYR,Artemi,Panarin,,,,,
8475752,NYR,Tyler,Pitlick,2010.0,EDM,2.0,1.0,31.0
8482460,NYR,Matt,Rempe,2020.0,NYR,6.0,10.0,165.0
8478458,NYR,Jack,Roslovic,2015.0,WPG,1.0,25.0,25.0
8483669,NYR,Adam,Sykora,2022.0,NYR,2.0,31.0,63.0
8476389,NYR,Vincent,Trocheck,2011.0,FLA,3.0,3.0,64.0
8476918,NYR,Jimmy,Vesey,2012.0,NSH,3.0,5.0,66.0
8477505,NYR,Alexander,Wennberg,2013.0,CBJ,1.0,14.0,14.0
8471218,NYR,Blake,Wheeler,2004.0,PHX,1.0,5.0,5.0
8476459,NYR,Mika,Zibanejad,2011.0,OTT,1.0,6.0,6.0
8480208,OTT,Drake,Batherson,2017.0,OTT,4.0,28.0,121.0
8473512,OTT,Claude,Giroux,2006.0,PHI,1.0,22.0,22.0
8482092,OTT,Ridly,Greig,2020.0,OTT,1.0,28.0,28.0
8478472,OTT,Mathieu,Joseph,2015.0,TBL,4.0,29.0,120.0
8480355,OTT,Mark,Kastelic,2019.0,OTT,5.0,1.0,125.0
8479383,OTT,Boris,Katchouk,2016.0,TBL,2.0,14.0,44.0
8480448,OTT,Parker,Kelly,,,,,
8477330,OTT,Dominik,Kubalik,2013.0,LAK,7.0,10.0,191.0
8479772,OTT,Zack,MacEwen,,,,,
8480064,OTT,Josh,Norris,2017.0,SJS,1.0,19.0,19.0
8481596,OTT,Shane,Pinto,2019.0,OTT,2.0,1.0,32.0
8482116,OTT,Tim,Stützle,2020.0,OTT,1.0,3.0,3.0
8480801,OTT,Brady,Tkachuk,2018.0,OTT,1.0,4.0,4.0
8474715,PHI,Cam,Atkinson,2008.0,CBJ,6.0,6.0,157.0
8480220,PHI,Noah,Cates,2017.0,PHI,5.0,13.0,137.0
8476461,PHI,Sean,Couturier,2011.0,PHI,1.0,8.0,8.0
8475235,PHI,Nicolas,Deslauriers,2009.0,LAK,3.0,23.0,84.0
8480797,PHI,Joel,Farabee,2018.0,PHI,1.0,14.0,14.0
8482159,PHI,Tyson,Foerster,2020.0,PHI,1.0,23.0,23.0
8480028,PHI,Morgan,Frost,2017.0,PHI,1.0,27.0,27.0
8478495,PHI,Denis,Gurianov,2015.0,DAL,1.0,12.0,12.0
8477903,PHI,Garnet,Hathaway,,,,,
8475793,PHI,Ryan,Johansen,2010.0,CBJ,1.0,4.0,4.0
8478439,PHI,Travis,Konecny,2015.0,PHI,1.0,24.0,24.0
8476872,PHI,Scott,Laughton,2012.0,PHI,1.0,20.0,20.0
8480068,PHI,Ryan,Poehling,2017.0,MTL,1.0,25.0,25.0
8480015,PHI,Owen,Tippett,2017.0,FLA,1.0,10.0,10.0
8478569,PIT,Noel,Acciari,,,,,
8480205,PIT,Emil,Bemstrom,2017.0,CBJ,4.0,24.0,117.0
8478047,PIT,Michael,Bunting,2014.0,ARI,4.0,27.0,117.0
8470604,PIT,Jeff,Carter,2003.0,PHI,1.0,11.0,11.0
8471675,PIT,Sidney,Crosby,2005.0,PIT,1.0,1.0,1.0
8474189,PIT,Lars,Eller,2007.0,STL,1.0,13.0,13.0
8478424,PIT,Jansen,Harkins,2015.0,WPG,2.0,17.0,47.0
8471215,PIT,Evgeni,Malkin,2004.0,PIT,1.0,2.0,2.0
8476442,PIT,Matt,Nieto,2011.0,SJS,2.0,17.0,47.0
8482055,PIT,Drew,O'Connor,,,,,
8479344,PIT,Jesse,Puljujarvi,2016.0,EDM,1.0,4.0,4.0
8476483,PIT,Rickard,Rakell,2011.0,ANA,1.0,30.0,30.0
8475810,PIT,Bryan,Rust,2010.0,PIT,3.0,20.0,80.0
8475191,PIT,Reilly,Smith,2009.0,DAL,3.0,8.0,69.0
8482241,PIT,Radim,Zohorna,,,,,
8477930,SEA,Pierre-Edouard,Bellemare,,,,,
8482665,SEA,Matty,Beniers,2021.0,SEA,1.0,2.0,2.0
8477416,SEA,Oliver,Bjorkstrand,2013.0,CBJ,3.0,28.0,89.0
8477444,SEA,Andre,Burakovsky,2013.0,WSH,1.0,23.0,23.0
8474586,SEA,Jordan,Eberle,2008.0,EDM,1.0,22.0,22.0
8476826,SEA,Yanni,Gourde,,,,,
8481789,SEA,Tye,Kartye,,,,,
8477955,SEA,Jared,McCann,2014.0,VAN,1.0,24.0,24.0
