,game_num,date,team_id,team_code,player_id,name,catches,toi,assists,goals,pim,shots,saves,pp_saves,sh_saves,ev_saves,sh_shots,ev_shots,pp_shots,decision,sv_perc,pp_sv_perc,sh_sv_perc,ev_sv_perc,home_away
61,2022020560,2022-12-29T00:30:00Z,5,PIT,8479193,Casey DeSmith,L,62:13,0,0,0,46,41,8,1,32,1,35,10,L,89.13043478260869,80.0,100.0,91.42857142857143,home
62,2022020561,2022-12-29T03:00:00Z,55,SEA,8475831,Philipp Grubauer,L,58:37,0,0,0,44,41,12,1,28,1,30,13,L,93.18181818181817,92.3076923076923,100.0,93.33333333333333,home
63,2022020562,2022-12-29T03:00:00Z,24,ANA,8476434,John Gibson,L,64:55,0,0,0,51,49,14,1,34,2,35,14,W,96.07843137254902,100.0,50.0,97.14285714285714,home
64,2022020563,2022-12-30T00:00:00Z,7,BUF,8480045,Ukko-Pekka Luukkonen,L,59:39,0,0,0,31,28,4,0,24,0,26,5,W,90.32258064516128,80.0,NaN,92.3076923076923,home
65,2022020564,2022-12-30T00:00:00Z,13,FLA,8475683,Sergei Bobrovsky,L,60:00,0,0,0,27,25,6,0,19,0,19,8,W,92.5925925925926,75.0,NaN,100.0,home
66,2022020565,2022-12-30T00:00:00Z,14,TBL,8476883,Andrei Vasilevskiy,L,64:51,0,0,0,46,45,7,0,38,0,39,7,W,97.82608695652173,100.0,NaN,97.43589743589743,home
67,2022020566,2022-12-30T00:00:00Z,15,WSH,8475311,Darcy Kuemper,L,61:14,0,0,0,45,41,2,3,36,3,40,2,L,91.11111111111111,100.0,100.0,90.0,home
68,2022020567,2022-12-30T00:30:00Z,2,NYI,8478009,Ilya Sorokin,L,60:00,0,0,0,21,20,2,1,17,1,18,2,W,95.23809523809523,100.0,100.0,94.44444444444444,home
69,2022020568,2022-12-30T01:00:00Z,19,STL,8476412,Jordan Binnington,L,60:00,0,0,0,22,21,2,1,18,1,18,3,W,95.45454545454545,66.66666666666666,100.0,100.0,home
70,2022020569,2022-12-30T01:00:00Z,30,MIN,8470594,Marc-Andre Fleury,L,59:09,0,0,0,42,39,8,1,30,1,31,10,L,92.85714285714286,80.0,100.0,96.7741935483871,home
71,2022020570,2022-12-30T01:00:00Z,52,WPG,8476945,Connor Hellebuyck,L,60:00,0,0,0,22,20,3,1,16,1,18,3,W,90.9090909090909,100.0,100.0,88.88888888888889,home
72,2022020571,2022-12-30T02:00:00Z,21,COL,8480382,Alexandar Georgiev,L,64:51,0,0,0,27,23,2,2,19,2,21,4,L,85.18518518518519,50.0,100.0,90.47619047619048,home
73,2022020572,2022-12-30T02:00:00Z,53,ARI,8478872,Karel Vejmelka,R,60:00,0,0,0,32,29,3,1,25,1,26,5,W,90.625,60.0,100.0,96.15384615384616,home
74,2022020573,2022-12-30T03:30:00Z,28,SJS,8478039,Kaapo Kahkonen,L,61:01,0,0,0,26,22,3,1,18,1,22,3,L,84.61538461538461,100.0,100.0,81.81818181818183,home
75,2022020574,2022-12-30T22:00:00Z,24,ANA,8476434,John Gibson,L,60:00,0,0,0,43,37,0,0,37,0,42,1,L,86.04651162790698,0.0,NaN,88.09523809523809,home
76,2022020575,2022-12-31T00:30:00Z,12,CAR,8477293,Antti Raanta,L,59:59,0,0,0,19,19,4,0,15,0,15,4,W,100.0,100.0,NaN,100.0,home
77,2022020576,2022-12-31T00:00:00Z,5,PIT,8477465,Tristan Jarry,L,58:43,0,0,0,27,24,7,1,16,2,17,8,L,88.88888888888889,87.5,50.0,94.11764705882352,home
78,2022020577,2022-12-31T03:00:00Z,55,SEA,8474889,Martin Jones,L,56:05,0,0,0,27,23,0,2,21,2,24,1,,85.18518518518519,0.0,100.0,87.5,home
79,2022020577,2022-12-31T03:00:00Z,55,SEA,8475831,Philipp Grubauer,L,3:55,0,0,0,5,2,0,0,2,0,4,1,L,40.0,0.0,NaN,50.0,home
80,2022020578,2022-12-31T18:00:00Z,6,BOS,8480280,Jeremy Swayman,L,63:51,0,0,0,25,21,3,3,15,3,19,3,L,84.0,100.0,100.0,78.94736842105263,home
81,2022020579,2022-12-31T20:00:00Z,54,VGK,8480313,Logan Thompson,R,61:30,0,0,0,37,33,1,0,32,0,35,2,W,89.1891891891892,50.0,NaN,91.42857142857143,home
82,2022020580,2022-12-31T21:00:00Z,15,WSH,8479292,Charlie Lindgren,R,60:00,0,0,0,33,31,1,1,29,1,30,2,W,93.93939393939394,50.0,100.0,96.66666666666667,home
83,2022020581,2022-12-31T21:00:00Z,26,LAK,8471734,Jonathan Quick,L,58:53,0,0,0,22,19,2,3,14,4,15,3,L,86.36363636363636,66.66666666666666,75.0,93.33333333333333,home
84,2022020582,2022-12-31T22:00:00Z,14,TBL,8476883,Andrei Vasilevskiy,L,60:00,0,0,0,31,28,3,0,25,0,28,3,W,90.32258064516128,100.0,NaN,89.28571428571429,home
85,2022020583,2022-12-31T18:00:00Z,29,CBJ,8476914,Joonas Korpisalo,L,60:00,0,0,0,28,27,9,1,17,1,18,9,W,96.42857142857143,100.0,100.0,94.44444444444444,home
86,2022020584,2023-01-01T00:00:00Z,17,DET,8476433,Magnus Hellberg,L,60:00,0,0,0,23,21,2,2,17,2,19,2,W,91.30434782608695,100.0,100.0,89.47368421052632,home
87,2022020585,2023-01-01T00:00:00Z,21,COL,8480382,Alexandar Georgiev,L,35:24,0,0,0,24,19,2,0,17,0,21,3,L,79.16666666666666,66.66666666666666,NaN,80.95238095238095,home
88,2022020585,2023-01-01T00:00:00Z,21,COL,8477992,Jonas Johansson,L,23:15,0,0,0,7,7,0,0,7,0,7,0,,100.0,NaN,NaN,100.0,home
89,2022020586,2023-01-01T01:00:00Z,25,DAL,8479979,Jake Oettinger,L,60:00,0,0,0,31,29,1,0,28,0,30,1,W,93.54838709677419,100.0,NaN,93.33333333333333,home
90,2022020587,2023-01-01T03:00:00Z,20,CGY,8474593,Jacob Markstrom,L,60:00,0,0,0,24,22,3,0,19,0,21,3,W,91.66666666666666,100.0,NaN,90.47619047619048,home
91,2022020588,2023-01-01T03:00:00Z,22,EDM,8475789,Jack Campbell,L,58:46,0,0,0,17,15,3,1,11,1,12,4,L,88.23529411764706,75.0,100.0,91.66666666666666,home
92,2022020589,2022-12-31T23:00:00Z,19,STL,8476412,Jordan Binnington,L,58:12,0,0,0,31,27,1,0,26,0,30,1,L,87.09677419354838,100.0,NaN,86.66666666666667,home
93,2022020590,2023-01-01T20:00:00Z,1,NJD,8478406,Mackenzie Blackwood,L,65:00,0,0,0,47,43,7,2,34,3,36,8,L,91.48936170212765,87.5,66.66666666666666,94.44444444444444,home
94,2022020591,2023-01-01T22:00:00Z,13,FLA,8475683,Sergei Bobrovsky,L,56:36,0,0,0,28,23,7,1,15,1,18,9,L,82.14285714285714,77.77777777777779,100.0,83.33333333333334,home
95,2022020592,2023-01-02T00:00:00Z,9,OTT,8476341,Anton Forsberg,L,60:00,0,0,0,34,33,2,0,31,0,32,2,W,97.05882352941177,100.0,NaN,96.875,home
