game_num,game_date,team_id,team_code,player_id,player_name,catches,toi,assists,goals,pim,shots,saves,pp_saves,sh_saves,ev_saves,sh_shots,ev_shots,pp_shots,decision,sv_perc,pp_sv_perc,sh_sv_perc,ev_sv_perc,home_away
2022020103,2022-10-26,16,CHI,8471774,Alex Stalock,L,60:00:00,0,0,0,31,29,5,0,24,0,26,5,W,93.5483871,100,,92.30769231,home
2022020104,2022-10-26,20,CGY,8474593,Jacob Markstrom,L,60:00:00,0,0,0,33,32,7,0,25,0,25,8,W,96.96969696969695,87.5,,100,home
2022020105,2022-10-26,55,SEA,8474889,Martin Jones,L,59:36:00,0,0,0,16,15,5,0,10,0,11,5,W,93.75,100,,90.90909091,home
2022020106,2022-10-26,26,LAK,8471734,Jonathan Quick,L,60:00:00,0,0,0,25,23,4,3,16,3,18,4,W,92,100,100,88.88888888888889,home
2022020107,2022-10-26,28,SJS,8473503,James Reimer,L,55:32:00,0,0,0,31,27,2,0,25,0,29,2,L,87.09677419354838,100,,86.20689655172413,home
2022020108,2022-10-26,2,NYI,8478009,Ilya Sorokin,L,60:00:00,0,0,0,41,41,8,1,32,1,32,8,W,100,100,100,100,home
2022020109,2022-10-27,19,STL,8476412,Jordan Binnington,L,58:55:00,0,0,0,27,25,5,0,20,0,22,5,L,92.59259259,100,,90.90909091,home
2022020110,2022-10-27,24,ANA,8476434,John Gibson,L,57:54:00,0,0,0,29,26,3,0,23,0,25,4,L,89.65517241379311,75,,92,home
2022020111,2022-10-27,6,BOS,8480280,Jeremy Swayman,L,59:45:00,0,0,0,29,28,3,1,24,1,25,3,W,96.55172413793105,100,100,96,home
2022020112,2022-10-27,4,PHI,8479394,Carter Hart,L,60:00:00,0,0,0,51,48,8,1,39,1,41,9,W,94.11764705882352,88.88888888888889,100,95.12195122,home
2022020113,2022-10-27,9,OTT,8476341,Anton Forsberg,L,58:44:00,0,0,0,39,36,5,2,29,2,31,6,L,92.30769231,83.33333333333334,100,93.5483871,home
2022020114,2022-10-27,7,BUF,8477480,Eric Comrie,L,59:21:00,0,0,0,34,31,5,0,26,0,29,5,L,91.17647058823528,100,,89.65517241379311,home
2022020115,2022-10-28,18,NSH,8477424,Juuse Saros,L,60:00:00,0,0,0,35,33,6,0,27,0,28,7,W,94.28571428571428,85.71428571428571,,96.42857142857144,home
2022020116,2022-10-28,16,CHI,8471774,Alex Stalock,L,59:46:00,0,0,0,38,32,9,5,18,5,21,12,L,84.21052631578947,75,100,85.71428571428571,home
2022020117,2022-10-28,25,DAL,8479979,Jake Oettinger,L,59:57:00,0,0,0,27,27,3,1,23,1,23,3,W,100,100,100,100,home
2022020118,2022-10-28,55,SEA,8474889,Martin Jones,L,58:20:00,0,0,0,18,14,0,0,14,0,16,2,L,77.77777777777779,0,,87.5,home
