player_id,games_played,goals,assists,points,gwg,ot_goals,shots,shooting_pctg,pim,plus_minus,pp_goals,pp_points,sh_goals,sh_points
8480860,76,4,14,18,2,0,57,0.070175,47,2,0,1,0,1
8481068,78,15,14,29,1,0,142,0.105634,12,-20,4,7,1,1
8481167,39,1,6,7,0,0,28,0.035714,47,-1,0,0,0,0
8481491,17,2,1,3,0,0,14,0.142857,4,-7,0,0,0,0
8481617,82,19,18,37,5,0,139,0.136691,63,16,1,3,0,0
8482074,74,12,13,25,3,1,110,0.109091,22,-9,2,7,0,0
8482679,80,18,27,45,3,0,197,0.091371,32,-29,7,15,0,0
8483455,29,2,3,5,0,0,36,0.055556,12,-6,0,0,0,0
8483512,82,18,19,37,5,0,138,0.130435,24,6,5,7,2,2
8483609,79,6,12,18,0,0,80,0.075,112,-12,1,2,0,0
8484860,37,6,14,20,0,0,70,0.085714,2,-14,1,7,0,0
8485493,22,3,2,5,0,0,30,0.1,10,-6,0,2,0,0
8475188,63,5,7,12,1,0,81,0.061728,26,2,0,0,0,0
8475191,69,16,10,26,3,1,95,0.168421,4,-9,1,1,1,1
8475913,60,28,45,73,4,2,130,0.215385,9,26,9,27,1,2
8476438,49,3,6,9,0,0,78,0.038462,14,-7,0,0,0,0
8476448,14,4,3,7,1,0,30,0.133333,4,-1,1,1,1,1
8476881,82,24,34,58,4,2,202,0.118812,39,-17,13,25,0,0
8476925,66,6,5,11,2,0,74,0.081081,28,-11,0,2,0,0
8477447,70,10,29,39,3,0,130,0.076923,24,19,2,5,0,0
8477964,82,23,38,61,3,0,133,0.172932,14,20,2,6,0,0
8478396,71,3,25,28,0,0,135,0.022222,14,0,0,7,0,0
8478403,74,27,63,90,6,3,260,0.103846,18,23,1,28,1,3
8478434,82,6,11,17,0,0,67,0.089552,55,-14,0,0,0,1
8478468,68,1,12,13,0,0,73,0.013699,89,-3,0,0,0,0
8478483,81,24,56,80,2,0,165,0.145455,24,17,5,24,0,1
8479353,58,12,10,22,1,0,66,0.181818,41,-9,0,3,0,0
8480727,78,2,15,17,0,0,67,0.029851,30,-6,0,0,0,0
8481527,78,3,13,16,0,0,60,0.05,26,6,0,0,0,0
8481604,82,37,27,64,4,0,230,0.16087,24,-3,20,30,0,0
8481568,81,2,19,21,0,0,86,0.023256,17,-16,0,0,0,1
8481806,78,7,18,25,1,0,114,0.061404,63,-2,0,0,1,2
8475722,62,24,21,45,7,0,128,0.1875,23,-5,10,16,0,0
8477419,5,0,0,0,0,0,1,0.0,12,-1,0,0,0,0
8477949,79,33,33,66,2,1,195,0.169231,57,24,7,9,3,5
8479359,81,7,7,14,0,0,72,0.097222,38,0,0,0,1,1
8479420,81,40,41,81,5,0,272,0.147059,35,-6,6,24,0,1
