player_id,position
8483567,C
8484262,D
8483513,L
8479291,C
8478211,L
8478147,L
8483487,R
8483746,G
8483630,L
8480021,C
8477484,G
8479394,G
8483472,D
8484388,L
8481599,D
8483463,C
8478502,D
8477990,G
8481065,C
8482484,G
8477574,G
8478039,G
8479644,R
8483532,G
8481535,L
8480528,G
8482804,D
8483711,G
8484150,D
8481567,D
8483841,C
8484170,G
8482188,G
8477952,C
8481070,L
8482479,C
8477979,R
8482641,D
8482167,R
8476952,C
8484185,L
8479368,L
8482874,R
8477499,D
8481077,L
8481030,D
8485511,R
8484994,L
8484230,C
8479388,D
8482781,D
8477021,C
8484142,C
8483491,L
8478971,G
8477405,G
8485907,G
8482673,R
8482168,D
8480191,G
8477034,D
8475413,C
8476988,D
8484287,D
8482465,G
8477320,L
8485465,G
8481517,R
8482766,L
8481732,L
8483406,R
8485512,C
8483526,C
8479639,D
8482451,L
8482123,G
8483203,G
8483466,D
8476391,C
8483771,L
8485729,G
8480192,D
8473503,G
8483766,D
8479550,C
8481600,D
8484797,C
8479718,C
8479314,L
8478967,C
8482192,D
8484177,R
8481028,C
8480007,R
8483448,D
8481547,D
8485473,G
8483756,R
8484509,C
8477971,D
8479387,D
8483505,C
8483546,D
8477361,G
8485251,C
8482993,R
8484933,D
8484938,R
8481572,D
8480022,G
8482153,C
8484312,G
8482742,L
8479942,R
8482652,R
8481707,G
8483675,C
8483699,D
8481534,C
8477931,L
8482657,G
8482715,D
8483258,G
8483731,L
8475718,D
8480870,C
8484188,D
8486095,G
8479543,L
8480326,C
8482107,D
8476316,G
8481518,L
8484873,D
8482067,D
8483575,G
8475253,L
8482162,L
8486056,C
8481575,D
8483435,D
8484759,D
8485391,C
8481186,R
8483669,L
8484793,C
8485545,G
8484169,D
8482802,L
8478888,C
8485406,R
8483444,C
8480075,D
8484406,C
8483397,C
8482731,D
8481526,G
8482663,L
8484234,L
8481064,G
8484999,L
8483687,D
8483712,D
8485467,C
8480291,C
8481004,L
8477851,D
8483668,G
8482174,D
8484380,C
8483709,D
8484910,G
8484220,D
8485395,C
8482873,D
8483467,D
8483182,G
8482525,C
8486166,D
8484152,D
8484242,C
8480853,C
8482187,D
8484392,R
8485388,R
8478409,C
8483760,D
8484148,D
8481093,L
8486169,D
8475857,D
8483482,D
8483696,R
8482949,G
