"player_id","player_name","birth_country"
8476891,"Matt Grzelcyk","USA"
8476854,"Hampus Lindholm","SWE"
8482511,"Mason Lohrei","USA"
8479325,"Charlie McAvoy","USA"
8480070,"Ian Mitchell","CAN"
8479369,"Andrew Peeke","USA"
8474031,"Kevin Shattenkirk","USA"
8478450,"Parker Wotherspoon","CAN"
8480196,"Jacob Bryson","CAN"
8481524,"Bowen Byram","CAN"
8479348,"Kale Clague","CAN"
8477365,"Connor Clifton","USA"
8480839,"Rasmus Dahlin","SWE"
8480035,"Henri Jokiharju","FIN"
8482671,"Owen Power","CAN"
8480807,"Mattias Samuelsson","USA"
8470613,"Brent Burns","CAN"
8478970,"Jalen Chatfield","USA"
8479639,"Dylan Coghlan","CAN"
8477950,"Tony DeAngelo","USA"
8482666,"Scott Morrow","USA"
8475200,"Dmitry Orlov","RUS"
8477488,"Brett Pesce","USA"
8482187,"Ronan Seeley","CAN"
8476869,"Brady Skjei","USA"
8476958,"Jaccob Slavin","USA"
8479402,"Jake Bean","CAN"
8480871,"Adam Boqvist","SWE"
8475790,"Erik Gudbranson","CAN"
8478500,"Ivan Provorov","RUS"
8476923,"Damon Severson","CAN"
8478460,"Zach Werenski","USA"
8478397,"Rasmus Andersson","SWE"
8478502,"Dennis Gilbert","USA"
8477810,"Joel Hanley","CAN"
8478430,"Oliver Kylington","SWE"
8482624,"Daniil Miromanov","RUS"
8481537,"Nikita Okhotiuk","RUS"
8481167,"Brayden Pachal","CAN"
8482470,"Ilya Solovyov","BLR"
8477346,"MacKenzie Weegar","CAN"
8477495,"Seth Jones","USA"
8483466,"Kevin Korchinski","CAN"
8477034,"Jaycob Megna","USA"
8476473,"Connor Murphy","USA"
8475797,"Jarred Tinordi","USA"
8481568,"Alex Vlasic","USA"
8479458,"Nikita Zaitsev","RUS"
8482072,"Jack Ahcan","USA"
8479398,"Samuel Girard","CAN"
8476779,"Brad Hunt","CAN"
8471677,"Jack Johnson","USA"
8478452,"Caleb Jones","USA"
8480069,"Cale Makar","CAN"
8484258,"Sam Malinski","USA"
8476312,"Josh Manson","USA"
8479387,"Keaton Middleton","CAN"
8478038,"Devon Toews","CAN"
8480336,"Sean Walker","CAN"
8483425,"Lian Bichsel","CHE"
8475825,"Jani Hakanpää","FIN"
8481581,"Thomas Harley","USA"
8480036,"Miro Heiskanen","FIN"
8476902,"Esa Lindell","FIN"
8480878,"Nils Lundkvist","SWE"
8475755,"Alexander Petrovic","CAN"
8476884,"Derrick Pouliot","CAN"
8470600,"Ryan Suter","USA"
8475690,"Chris Tanev","CAN"
8475279,"Ben Chiarot","CAN"
8482762,"Simon Edvinsson","SWE"
8476906,"Shayne Gostisbehere","USA"
8475718,"Justin Holl","USA"
8476874,"Olli Maatta","FIN"
8473507,"Jeff Petry","USA"
8481542,"Moritz Seider","DEU"
8478013,"Jake Walman","CAN"
8480803,"Evan Bouchard","CAN"
8481598,"Philip Broberg","SWE"
8476879,"Cody Ceci","CAN"
8479576,"Vincent Desharnais","CAN"
8479341,"Cam Dineen","USA"
8475218,"Mattias Ekholm","SWE"
8479416,"Ben Gleason","USA"
8480274,"Philip Kemp","USA"
8476967,"Brett Kulak","CAN"
8477498,"Darnell Nurse","CAN"
8479442,"Troy Stecher","CAN"
8484304,"Uvis Balinskis","LVA"
8482107,"Mike Benning","CAN"
8481600,"Tobias Bjornfot","SWE"
8477932,"Aaron Ekblad","CAN"
8475171,"Oliver Ekman-Larsson","SWE"
8478055,"Gustav Forsling","SWE"
8482641,"Matt Kiersted","USA"
8475179,"Dmitry Kulikov","RUS"
8479372,"Josh Mahura","CAN"
8478859,"Niko Mikkola","FIN"
8477986,"Brandon Montour","CAN"
8479998,"Mikey Anderson","USA"
8482730,"Brandt Clarke","CAN"
8474563,"Drew Doughty","CAN"
8477971,"Andreas Englund","SWE"
8478882,"Vladislav Gavrikov","RUS"
8479421,"Jacob Moverare","SWE"
8478911,"Matt Roy","USA"
8481606,"Jordan Spence","AUS"
8474567,"Zach Bogosian","USA"
8476463,"Jonas Brodin","SWE"
8480990,"Declan Chisholm","CAN"
8482122,"Brock Faber","USA"
8471274,"Alex Goligoski","USA"
8477541,"Dakota Mermis","USA"
8475750,"Jon Merrill","USA"
8478136,"Jake Middleton","CAN"
8474716,"Jared Spurgeon","CAN"
8482087,"Kaiden Guhle","CAN"
8480887,"Jordan Harris","USA"
8483457,"Lane Hutson","USA"
8480192,"Johnathan Kovacevic","CAN"
8476875,"Mike Matheson","CAN"
8475233,"David Savard","CAN"
8482964,"Arber Xhekaj","CAN"
8480860,"Kevin Bahl","CAN"
8480084,"Nick DeSimone","USA"
8476462,"Dougie Hamilton","CAN"
8482684,"Luke Hughes","USA"
8478507,"John Marino","USA"
8483495,"Simon Nemec","SVK"
8478399,"Jonas Siegenthaler","CHE"
8474090,"Brendan Smith","CAN"
8475197,"Tyson Barrie","CAN"
8478851,"Alexandre Carrier","CAN"
8479371,"Dante Fabbro","CAN"
8474600,"Roman Josi","CHE"
8478468,"Jeremy Lauzon","CAN"
8474568,"Luke Schenn","CAN"
8480222,"Sebastian Aho","SWE"
8481541,"Samuel Bolduc","CAN"
8474145,"Robert Bortuzzo","CAN"
8479395,"Dennis Cholowski","CAN"
8480865,"Noah Dobson","CAN"
8476429,"Scott Mayfield","USA"
8476917,"Adam Pelech","CAN"
8477506,"Ryan Pulock","CAN"
8476422,"Mike Reilly","USA"
8481014,"Alexander Romanov","RUS"
8480071,"Robin Salo","FIN"
8479323,"Adam Fox","USA"
8476979,"Erik Gustafsson","SWE"
8477433,"Ben Harpur","CAN"
8481708,"Zac Jones","USA"
8479324,"Ryan Lindgren","USA"
8482067,"Connor Mackey","USA"
8480817,"K'Andre Miller","USA"
8481525,"Matthew Robertson","CAN"
8477244,"Chad Ruhwedel","USA"
8483407,"Brandon Scanlin","CAN"
8482073,"Braden Schneider","CAN"
8476885,"Jacob Trouba","USA"
8480879,"Jacob Bernard-Docker","CAN"
8480073,"Erik Brannstrom","SWE"
8478469,"Thomas Chabot","CAN"
8479345,"Jakob Chychrun","USA"
8474612,"Travis Hamonic","CAN"
8482105,"Jake Sanderson","USA"
8482245,"Artem Zub","RUS"
8482142,"Jamie Drysdale","CAN"
8475176,"Ryan Ellis","CAN"
8473446,"Erik Johnson","USA"
8477499,"Rasmus Ristolainen","FIN"
8477948,"Travis Sanheim","CAN"
8476372,"Nick Seeler","USA"
8471686,"Marc Staal","CAN"
8481546,"Cam York","USA"
8481178,"Egor Zamula","RUS"
8477435,"Ryan Graves","CAN"
8480058,"Pierre-Olivier Joseph","CAN"
8474578,"Erik Karlsson","SWE"
8471724,"Kris Letang","CAN"
8481206,"John Ludvig","CZE"
8477969,"Marcus Pettersson","SWE"
8478840,"Will Borgen","USA"
8475208,"Brian Dumoulin","USA"
8478407,"Vince Dunn","CAN"
8476457,"Adam Larsson","SWE"
8476467,"Jamie Oleksiak","CAN"
8474602,"Justin Schultz","CAN"
8480884,"Calen Addison","CAN"
8476988,"Matt Benning","CAN"
8477335,"Kyle Burroughs","CAN"
8480834,"Ty Emberson","USA"
8479983,"Mario Ferraro","CAN"
8479439,"Jacob MacDonald","USA"
8480172,"Jan Rutta","CZE"
8481567,"Henry Thrun","USA"
8471709,"Marc-Edouard Vlasic","CAN"
8475753,"Justin Faulk","USA"
8476792,"Torey Krug","USA"
8475181,"Nick Leddy","USA"
8476892,"Colton Parayko","CAN"
8481059,"Scott Perunovich","USA"
8474618,"Marco Scandella","CAN"
8481006,"Tyler Tucker","CAN"
8478416,"Erik Cernak","SVK"
8475177,"Calvin de Haan","CAN"
8476856,"Mathew Dumba","CAN"
8477938,"Haydn Fleury","CAN"
8475167,"Victor Hedman","SWE"
8474151,"Ryan McDonagh","USA"
8480246,"Nick Perbix","USA"
8478178,"Darren Raddysh","CAN"
8479410,"Mikhail Sergachev","RUS"
8481122,"Simon Benoit","CAN"
8474673,"TJ Brodie","CAN"
8476441,"Joel Edmundson","CAN"
8470966,"Mark Giordano","CAN"
8475906,"John Klingberg","SWE"
