"game_id","game_period","event_id","time_in_period","time_remaining","situation_code","home_def_code","type_code","event_name","event_owner_team_id","zone_code","x_coord","y_coord","shot_type","goalie_in_id","score_player_id","score_player_total","assist_1_player_id","assist_1_player_total","assist_2_player_id","assist_2_player_total","away_score","home_score","video_link"
2024020294,2,677,"4:39","15:21",1551,"right",505,"goal",22,"O",77,-2,"backhand",8478406,8477934,14,8478402,15,8474641,2,4,1,"https://nhl.com/video/edm-ott-draisaitl-scores-goal-against-linus-ullmark-6364928392112"
2024020315,1,54,"0:27","19:33",1551,"left",505,"goal",22,"D",-41,-36,"wrist",NULL,8477934,15,8478402,16,NULL,NULL,0,1,"https://nhl.com/video/min-edm-draisaitl-scores-goal-against-marc-andre-fleury-6365026472112"
2024020332,2,728,"8:54","11:06",1441,"right",505,"goal",22,"O",-76,-7,"wrist",8476434,8477934,16,8478402,17,NULL,NULL,0,3,"https://nhl.com/video/nyr-edm-draisaitl-scores-goal-against-jonathan-quick-6365113121112"
2024020375,2,737,"14:01","5:59",1541,"right",505,"goal",22,"O",78,-13,"snap",8478916,8477934,17,8478402,18,8480803,10,2,2,"https://nhl.com/video/edm-uta-draisaitl-scores-ppg-against-karel-vejmelka-6365348041112"
2024020418,2,471,"2:22","17:38",1551,"right",505,"goal",22,"O",-79,4,"backhand",8481519,8477934,18,8478402,21,8480803,14,1,2,"https://nhl.com/video/cbj-edm-draisaitl-scores-goal-against-daniil-tarasov-6365612724112"
2024020418,3,963,"13:37","6:23",1451,"left",505,"goal",22,"O",67,14,"wrist",8477465,8477934,19,8478402,23,8476454,10,3,6,"https://nhl.com/video/cbj-edm-draisaitl-scores-goal-against-daniil-tarasov-6365614560112"
2024020453,2,685,"11:58","8:02",1551,"right",505,"goal",22,"O",-77,5,NULL,8471734,8477934,20,NULL,NULL,NULL,NULL,1,2,"https://nhl.com/video/tbl-edm-draisaitl-scores-goal-against-andrei-vasilevskiy-6365831498112"
2024020467,2,842,"15:54","4:06",1551,"left",505,"goal",22,"O",-73,11,"deflected",8478007,8477934,21,8480803,16,8481617,7,5,1,"https://nhl.com/video/edm-min-draisaitl-scores-goal-against-filip-gustavsson-6365931230112"
2024020477,2,690,"10:46","9:14",1551,"right",505,"goal",22,"O",-85,-2,"tip-in",NULL,8477934,22,8477498,11,8477406,12,0,4,"https://nhl.com/video/vgk-edm-draisaitl-scores-goal-against-adin-hill-6366004839112"
2024020495,2,664,"9:24","10:36",1451,"right",505,"goal",22,"O",-80,32,"snap",8478048,8477934,23,8478402,30,8475218,10,2,4,"https://nhl.com/video/fla-edm-draisaitl-scores-goal-against-sergei-bobrovsky-6366094149112"
